Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (MBSE),T_I (MBSE),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab,T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation)
1510.6,125.4,17040.2,0.371,7.4,0.102,0.514,0.369,0.578,0.8,0.5,2,1,True,0.2,0.8,1,0.2,0.5,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2
1593,119.6,14841.1,0.394,6.5,0.113,0.528,0.527,0.642,0.8,0.8,1,1,False,0.2,0.8,1,0.8,0.2,0.2,0.8,0.2,0.5,0.2,0.8,0.8,0.2,0.2,0.8
1491.3,96.5,3309.1,0.357,7.2,0.12,0.573,0.353,0.589,0.8,0.2,2,1,False,0.8,0.8,2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.5,0.5,0.8
1244.8,80.6,491.9,0.378,6.6,0.118,0.609,0.429,0.623,0.8,0.2,2,2,False,0.8,0.2,1,0.5,0.2,0.2,0.2,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.2
1177.1,76,53.8,0.364,6.5,0.103,0.648,0.433,0.655,0.8,0.2,3,2,False,0.2,0.8,1,0.2,0.2,0.2,0.2,0.5,0.5,0.8,0.8,0.5,0.8,0.2,0.8
1292.7,86.4,1173.5,0.317,5.7,0.076,0.694,0.492,0.689,0.2,0.2,3,3,False,0.8,0.2,3,0.2,0.8,0.2,0.5,0.2,0.2,0.8,0.8,0.2,0.8,0.2,0.8
1610.6,112.4,14130.1,0.296,6.7,0.073,0.645,0.354,0.552,0.2,0.8,3,1,False,0.8,0.2,3,0.8,0.8,0.8,0.2,0.2,0.5,0.5,0.5,0.2,0.2,0.8,0.5
1951.2,146,44723.9,0.325,6.4,0.08,0.539,0.526,0.562,0.2,0.8,1,1,False,0.8,0.2,3,0.2,0.5,0.8,0.2,0.8,0.8,0.5,0.8,0.5,0.2,0.8,0.2
1764.7,122.7,16873,0.378,6.9,0.114,0.497,0.49,0.618,0.8,0.2,1,1,False,0.2,0.5,1,0.5,0.2,0.8,0.5,0.2,0.5,0.8,0.8,0.8,0.2,0.8,0.8
1071.9,74.8,202.4,0.364,5.2,0.094,0.707,0.521,0.763,0.5,0.8,3,3,False,0.2,0.8,3,0.8,0.5,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.8
1371.9,95.6,3625.2,0.366,6.9,0.098,0.608,0.383,0.623,0.8,0.8,2,1,False,0.8,0.5,3,0.2,0.8,0.2,0.5,0.5,0.5,0.8,0.5,0.8,0.2,0.2,0.5
1244.2,88.8,2910.5,0.388,6.5,0.134,0.629,0.353,0.639,0.8,0.8,3,1,False,0.2,0.2,3,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.8,0.5,0.2,0.5,0.2
1491.9,121.4,15776.4,0.323,5.8,0.077,0.588,0.522,0.656,0.2,0.5,2,3,True,0.2,0.2,2,0.5,0.8,0.2,0.2,0.2,0.8,0.2,0.5,0.2,0.2,0.8,0.2
