Name,DOE,Number,Mean Cost,Mean Lead Time,Mean Quality,Risk,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
DOE4-197,DOE4,197,1668.3,135.9,0.803,48395,0.292,7.3,0.074,0.619,0.589,0.675
DOE4-199,DOE4,199,1851.7,155.9,0.815,95320.5,0.262,8.4,0.073,0.636,0.602,0.592
DOE4-198,DOE4,198,1716.9,162.9,0.818,102115.2,0.285,7.3,0.065,0.592,0.625,0.7
DOE4-196,DOE4,196,1885.6,152.1,0.804,85680.6,0.218,9.5,0.073,0.689,0.351,0.506
DOE4-191,DOE4,191,1414,120.1,0.804,47208,0.272,9.6,0.11,0.69,0.417,0.573
DOE4-225,DOE4,225,1803.9,170.3,0.811,144078.7,0.251,9.8,0.079,0.587,0.332,0.524
DOE4-222,DOE4,222,1661.7,162.8,0.81,122658.6,0.269,9.6,0.105,0.582,0.341,0.585
DOE4-214,DOE4,214,1675.8,142.1,0.812,122256.3,0.286,7.2,0.072,0.639,0.627,0.735
DOE4-213,DOE4,213,1713.4,175.9,0.826,134272.2,0.31,10.3,0.158,0.397,0.567,0.6
DOE4-247,DOE4,247,1516.1,150,0.808,74834.7,0.275,10.2,0.095,0.58,0.396,0.543
DOE4-240,DOE4,240,1665.4,140.7,0.81,113618.4,0.285,7.3,0.08,0.642,0.626,0.679
DOE4-276,DOE4,276,1065.3,86.7,0.82,2905,0.325,7.1,0.103,0.734,0.501,0.741
DOE4-249,DOE4,249,2210.4,180.5,0.797,166817.6,0.242,8.7,0.069,0.601,0.515,0.521
DOE4-271,DOE4,271,1887.1,155.8,0.814,93661.7,0.275,8.4,0.073,0.606,0.547,0.574
DOE4-212,DOE4,212,1630.8,136.5,0.808,47986.4,0.246,8.5,0.076,0.706,0.438,0.562
DOE4-215,DOE4,215,1200.9,98,0.812,6510.1,0.295,6.9,0.088,0.743,0.495,0.727
DOE4-223,DOE4,223,2460.5,243.9,0.802,478984.7,0.232,9.5,0.066,0.521,0.571,0.508
DOE4-224,DOE4,224,2198.6,188.4,0.81,201930.7,0.237,9.3,0.064,0.607,0.526,0.529
DOE4-270,DOE4,270,1699.3,164.8,0.827,101230.5,0.321,10.3,0.156,0.399,0.538,0.596
DOE4-248,DOE4,248,1646.7,142.2,0.804,130346.5,0.281,6.6,0.071,0.655,0.649,0.739
DOE4-241,DOE4,241,1494.2,122.3,0.811,29399,0.276,9.7,0.088,0.664,0.326,0.525
DOE4-246,DOE4,246,1457.4,121.6,0.808,26764.9,0.28,9.6,0.085,0.668,0.33,0.572
DOE4-1,DOE4,1,1558.6,123.4,0.812,32206,0.28,9.6,0.107,0.631,0.362,0.532
DOE4-10,DOE4,10,1335.7,107.6,0.81,12222.3,0.29,8.1,0.087,0.689,0.453,0.631
DOE4-38,DOE4,38,1410.3,113,0.811,16623.1,0.262,7.7,0.067,0.733,0.433,0.627
DOE4-36,DOE4,36,1447.8,109.7,0.818,28475.4,0.286,9.8,0.098,0.657,0.359,0.582
DOE4-31,DOE4,31,1112.6,100.4,0.803,9576,0.337,7.5,0.112,0.662,0.475,0.706
DOE4-91,DOE4,91,1559.7,116.9,0.808,24227,0.276,10.4,0.123,0.627,0.332,0.505
DOE4-65,DOE4,65,1602.1,135.4,0.813,47901.3,0.253,9.1,0.078,0.695,0.427,0.581
DOE4-62,DOE4,62,2144.7,181.4,0.803,216498.5,0.252,8.8,0.069,0.598,0.507,0.575
DOE4-54,DOE4,54,1763.3,148.5,0.809,90144.7,0.23,8.9,0.067,0.702,0.354,0.58
DOE4-53,DOE4,53,1747.7,148.4,0.81,131213.9,0.277,7.7,0.078,0.633,0.597,0.627
DOE4-30,DOE4,30,1662.6,132.9,0.809,52064.9,0.253,9.7,0.087,0.662,0.417,0.577
DOE4-37,DOE4,37,1293.9,108.1,0.81,103500.1,0.291,8.2,0.104,0.707,0.528,0.709
DOE4-39,DOE4,39,1718.9,143.2,0.8,63845.9,0.24,9.5,0.082,0.68,0.404,0.518
DOE4-52,DOE4,52,1486.3,122.4,0.81,57831.9,0.254,7.8,0.07,0.729,0.517,0.698
DOE4-55,DOE4,55,1665.1,129.9,0.802,43986.5,0.25,10.3,0.101,0.646,0.353,0.522
DOE4-63,DOE4,63,1361.2,108.8,0.811,16581.6,0.304,9.8,0.113,0.649,0.336,0.567
DOE4-64,DOE4,64,1438.8,118.7,0.815,23155.3,0.25,8.7,0.07,0.731,0.452,0.621
DOE4-90,DOE4,90,2321.6,231.9,0.808,398615.8,0.246,8.8,0.072,0.513,0.569,0.589
DOE4-46,DOE4,46,1085.3,101.7,0.824,6806.8,0.345,9.5,0.181,0.537,0.578,0.693
DOE4-79,DOE4,79,1119.5,89.6,0.815,4059.3,0.319,7.7,0.106,0.714,0.464,0.698
DOE4-41,DOE4,41,1218.6,100.2,0.809,7365.9,0.294,7.9,0.105,0.719,0.448,0.67
DOE4-83,DOE4,83,2066.6,169.8,0.811,131483.9,0.256,9.2,0.07,0.595,0.53,0.571
DOE4-4,DOE4,4,1560.8,131.7,0.812,38726.5,0.242,8.5,0.068,0.727,0.41,0.592
DOE4-77,DOE4,77,1764.9,150.8,0.811,108459.6,0.268,7.1,0.069,0.644,0.628,0.725
DOE4-48,DOE4,48,1781.3,150.5,0.805,84491.4,0.27,7.3,0.077,0.636,0.606,0.705
DOE4-70,DOE4,70,1362.5,137.2,0.824,41035.6,0.342,8.2,0.174,0.457,0.662,0.749
DOE4-3,DOE4,3,1714.5,138.5,0.808,50793.3,0.236,9.3,0.073,0.683,0.356,0.586
DOE4-84,DOE4,84,1285.2,105.5,0.814,10578.3,0.273,8.4,0.083,0.723,0.491,0.67
DOE4-24,DOE4,24,1739.1,146.2,0.802,148066.7,0.279,7.2,0.082,0.636,0.613,0.701
DOE4-23,DOE4,23,1311.2,122,0.807,24200.8,0.276,8.4,0.077,0.67,0.521,0.691
DOE4-15,DOE4,15,1562.6,127.5,0.813,36302.3,0.274,9.4,0.081,0.657,0.361,0.524
DOE4-12,DOE4,12,1802,147.9,0.806,66754.2,0.265,7.6,0.073,0.632,0.622,0.638
DOE4-85,DOE4,85,1859.6,159.3,0.807,219730.3,0.258,7.7,0.066,0.646,0.636,0.7
DOE4-71,DOE4,71,985,91,0.826,2995.6,0.384,9.1,0.208,0.55,0.471,0.659
DOE4-2,DOE4,2,1274.2,101.1,0.81,11164.3,0.286,8.2,0.106,0.711,0.466,0.69
DOE4-5,DOE4,5,1993.2,164.3,0.806,109665.4,0.261,8.5,0.07,0.603,0.544,0.586
DOE4-76,DOE4,76,2234.9,221.4,0.808,336815.7,0.249,9.2,0.075,0.51,0.556,0.565
DOE4-82,DOE4,82,1338.1,106.2,0.809,14464.3,0.279,8.7,0.101,0.7,0.443,0.623
DOE4-49,DOE4,49,1836.9,152.9,0.803,89054.4,0.26,7.9,0.068,0.635,0.63,0.674
DOE4-40,DOE4,40,1431,115.7,0.819,22104,0.271,8.7,0.074,0.699,0.47,0.587
DOE4-47,DOE4,47,1999.9,162.2,0.805,102292.2,0.262,8.6,0.074,0.597,0.532,0.574
DOE4-78,DOE4,78,1775.8,149,0.806,84943.9,0.269,7.7,0.073,0.639,0.631,0.676
DOE4-13,DOE4,13,1547.3,127.1,0.801,59833.3,0.244,7.8,0.072,0.73,0.513,0.643
DOE4-14,DOE4,14,1425,119,0.816,28199.9,0.26,7.3,0.074,0.737,0.52,0.71
DOE4-22,DOE4,22,1699,145.1,0.807,62813.2,0.274,6.7,0.07,0.651,0.632,0.726
DOE4-25,DOE4,25,1253.5,116.7,0.799,19871.7,0.295,8.7,0.114,0.635,0.515,0.639
